カテゴリー,銘柄名,ティッカー,時価総額,業績推移(直近),アナリスト,企業の特徴,Yahoo Financeリンク,AI評価
3. ロボット本体・アーム,ロックウェル,ROK,45.0億ドル,売上+11.9%/益+67.1%,買い,産業用オートメーション機器および情報ソリューションの世界的企業。,https://finance.yahoo.co.jp/quote/ROK,期待上昇率: +43% (勝率: 80%)
3. ロボット本体・アーム,iRobot,IRBT,-,-,-,家庭用ロボット掃除機「ルンバ」を展開する消費者向けロボット大手。,https://finance.yahoo.co.jp/quote/IRBT,期待上昇率: +17% (勝率: 57%)
3. ロボット本体・アーム,ジョビー,JOBY,8.6億ドル,売上+55965.5%,中立,eVTOL（電動垂直離着陸機）いわゆる空飛ぶクルマのリーディングカンパニー。,https://finance.yahoo.co.jp/quote/JOBY,期待上昇率: +19% (勝率: 57%)
3. ロボット本体・アーム,アーチャー,ACHR,4.2億ドル,-,買い,都市型航空モビリティ向けeVTOLを開発。ステランティス等と提携。,https://finance.yahoo.co.jp/quote/ACHR,期待上昇率: +28% (勝率: 73%)
3. ロボット本体・アーム,テラダイン,TER,48.0億ドル,売上+43.9%/益+81.4%,買い,半導体自動テスト装置の最大手であり、協働ロボット（UR）も傘下に持つ。,https://finance.yahoo.co.jp/quote/TER,期待上昇率: +48% (勝率: 83%)
3. ロボット本体・アーム,テレダイン,TDY,29.2億ドル,売上+7.6%/益+21.6%,買い,航空宇宙・防衛向け機器およびマシンビジョン用デジタルカメラを展開。,https://finance.yahoo.co.jp/quote/TDY,期待上昇率: +46% (勝率: 77%)
3. ロボット本体・アーム,ディア,DE,151.3億ドル,売上-11.1%/益-8.5%,買い,世界最大の農機メーカー。完全自律走行トラクターなどスマート農業を推進。,https://finance.yahoo.co.jp/quote/DE,期待上昇率: +16% (勝率: 51%)
3. ロボット本体・アーム,キャタピラー,CAT,376.9億ドル,売上+18.0%/益-11.4%,買い,建設・鉱山機械の世界最大手。重機の自律化・自動化に積極的に投資。,https://finance.yahoo.co.jp/quote/CAT,期待上昇率: +31% (勝率: 65%)
3. ロボット本体・アーム,オシュコシュ,OSK,9.2億ドル,売上+3.5%/益-10.1%,-,特装車・軍用車両メーカー。ゴミ収集車などの自動化や電動化を推進。,https://finance.yahoo.co.jp/quote/OSK,期待上昇率: +18% (勝率: 47%)
3. ロボット本体・アーム,テレックス,TEX,6.9億ドル,売上+6.2%,買い,高所作業車やクレーンなどの産業用機械を製造。製品のスマート化を図る。,https://finance.yahoo.co.jp/quote/TEX,期待上昇率: +34% (勝率: 77%)
4. 開発支援・実用化技術,NVIDIA,NVDA,5.1兆ドル,売上+73.2%/益+95.6%,強気買い,AI向けGPUで圧倒的シェア。ロボット開発基盤「Isaac」も展開。,https://finance.yahoo.co.jp/quote/NVDA,期待上昇率: +51% (勝率: 86%)
4. 開発支援・実用化技術,AMD,AMD,549.6億ドル,売上+34.1%/益+217.1%,買い,CPUとGPU大手。データセンターやエッジAI向けプロセッサを強化中。,https://finance.yahoo.co.jp/quote/AMD,期待上昇率: +44% (勝率: 77%)
4. 開発支援・実用化技術,インテル,INTC,476.2億ドル,売上+7.2%,中立,CPU世界最大手。自動運転（モービルアイ）やエッジAIチップも展開。,https://finance.yahoo.co.jp/quote/INTC,期待上昇率: +22% (勝率: 56%)
4. 開発支援・実用化技術,クアルコム,QCOM,166.6億ドル,売上+5.0%/益-1.8%,中立,スマホ向け通信半導体最大手。エッジAIや車載向けチップへの多角化を推進。,https://finance.yahoo.co.jp/quote/QCOM,期待上昇率: +20% (勝率: 43%)
4. 開発支援・実用化技術,ブロードコム,AVGO,1.9兆ドル,売上+29.5%/益+31.6%,強気買い,通信・ネットワーク用半導体。カスタムAIチップ（ASIC）の開発に強み。,https://finance.yahoo.co.jp/quote/AVGO,期待上昇率: +52% (勝率: 88%)
4. 開発支援・実用化技術,アーム,ARM,214.2億ドル,売上+26.3%/益-12.3%,買い,スマホ用CPU設計図で市場独占。AI向けや車載向けアーキテクチャを展開。,https://finance.yahoo.co.jp/quote/ARM,期待上昇率: +29% (勝率: 64%)
4. 開発支援・実用化技術,マーベル,MRVL,136.9億ドル,売上+22.1%/益+106.3%,強気買い,データインフラ向け半導体。AIデータセンター用ネットワークチップに強み。,https://finance.yahoo.co.jp/quote/MRVL,期待上昇率: +49% (勝率: 83%)
4. 開発支援・実用化技術,マイクロン,MU,584.7億ドル,売上+196.3%/益+756.0%,強気買い,DRAMやNANDなどのメモリ半導体大手。AIサーバー向けHBMを供給。,https://finance.yahoo.co.jp/quote/MU,期待上昇率: +51% (勝率: 82%)
5. 基幹部品,イートン,ETN,159.4億ドル,売上+13.1%/益+18.9%,買い,電力管理ソリューション大手。データセンターや産業設備の効率化を支援。,https://finance.yahoo.co.jp/quote/ETN,期待上昇率: +47% (勝率: 77%)
5. 基幹部品,エマソン,EMR,76.7億ドル,売上+4.1%/益+4.9%,買い,産業用自動化機器とソフトウェア。プラント制御システムなどで世界有数。,https://finance.yahoo.co.jp/quote/EMR,期待上昇率: +49% (勝率: 83%)
5. 基幹部品,パーカー・ハネフィン,PH,119.6億ドル,売上+9.1%/益-9.0%,買い,モーション＆コントロール技術。航空宇宙、産業、モバイル向け油空圧機器。,https://finance.yahoo.co.jp/quote/PH,期待上昇率: +35% (勝率: 63%)
5. 基幹部品,ローパー,ROP,36.6億ドル,売上+11.3%/益+59.2%,買い,産業向けソフトウェアとエンジニアリング製品の複合企業。,https://finance.yahoo.co.jp/quote/ROP,期待上昇率: +49% (勝率: 83%)
5. 基幹部品,ハネウェル,HON,133.3億ドル,売上+2.4%/益-41.9%,買い,航空宇宙からビル制御、機能性材料まで多角展開。量子コンピューターも。,https://finance.yahoo.co.jp/quote/HON,期待上昇率: +33% (勝率: 64%)
5. 基幹部品,アメテック,AME,52.2億ドル,売上+13.4%/益+3.6%,買い,電子機器と電気機械装置のグローバル企業。高精度な計測機器などを提供。,https://finance.yahoo.co.jp/quote/AME,期待上昇率: +48% (勝率: 81%)
5. 基幹部品,イリノイ・ツール,ITW,76.6億ドル,売上+4.1%/益+7.3%,中立,特殊産業用機器や消費財。自動車部品や溶接機器など広範に展開。,https://finance.yahoo.co.jp/quote/ITW,期待上昇率: +35% (勝率: 60%)
5. 基幹部品,ノードソン,NDSN,15.6億ドル,売上+8.8%/益+44.2%,買い,接着剤やコーティング材の精密塗布装置。電子部品や医療向けで強み。,https://finance.yahoo.co.jp/quote/NDSN,期待上昇率: +43% (勝率: 77%)
5. 基幹部品,ワブテック,WAB,44.3億ドル,売上+13.0%/益+12.8%,強気買い,貨物鉄道向け機器。自動運転機関車や鉄道のデジタル化技術を推進。,https://finance.yahoo.co.jp/quote/WAB,期待上昇率: +51% (勝率: 85%)
5. 基幹部品,リンカーン・エレクトリック,LECO,14.1億ドル,売上+5.5%/益-0.3%,買い,アーク溶接機器の世界的企業。溶接ロボットシステムのソリューションも。,https://finance.yahoo.co.jp/quote/LECO,期待上昇率: +32% (勝率: 67%)
5. 基幹部品,ドーバー,DOV,29.9億ドル,売上+10.1%/益+5.3%,買い,産業機器のコングロマリット。マーキングや流体ハンドリングなどを手掛ける。,https://finance.yahoo.co.jp/quote/DOV,期待上昇率: +44% (勝率: 78%)
5. 基幹部品,インガソール・ランド,IR,30.3億ドル,売上+10.1%/益+18.4%,買い,産業用エアコンプレッサーやポンプなど、流体管理技術のグローバル企業。,https://finance.yahoo.co.jp/quote/IR,期待上昇率: +45% (勝率: 82%)
6. その他部品,TEコネクティビティ,TEL,59.9億ドル,売上+14.5%/益+7150.0%,買い,センサーおよびコネクタの世界最大手。自動車や通信機器向けに展開。,https://finance.yahoo.co.jp/quote/TEL,期待上昇率: +47% (勝率: 81%)
6. その他部品,アンフェノール,APH,182.4億ドル,売上+49.1%/益+57.6%,買い,コネクタ、光ファイバー、アンテナ等の設計・製造で世界をリード。,https://finance.yahoo.co.jp/quote/APH,期待上昇率: +43% (勝率: 81%)
6. その他部品,コーニング,GLW,130.2億ドル,売上+20.0%/益+138.9%,買い,特殊ガラスやセラミック。光ファイバーやディスプレイ用ガラスの大手。,https://finance.yahoo.co.jp/quote/GLW,期待上昇率: +45% (勝率: 77%)
6. その他部品,キーサイト,KEYS,57.5億ドル,売上+23.3%/益+68.0%,買い,電子計測機器のトップ企業。5G/6G通信や自動運転システムのテスト基盤。,https://finance.yahoo.co.jp/quote/KEYS,期待上昇率: +50% (勝率: 82%)
6. その他部品,フォーティブ,FTV,19.0億ドル,売上+4.6%/益-2.6%,中立,産業用センサーや計測機器、ソフトウェアなどを提供する複合企業。,https://finance.yahoo.co.jp/quote/FTV,期待上昇率: +16% (勝率: 46%)
6. その他部品,テキサス・インスツルメンツ,TXN,245.0億ドル,売上+18.6%/益+31.3%,買い,アナログ半導体の世界最大手。自動車や産業機器向けの各種制御チップを展開。,https://finance.yahoo.co.jp/quote/TXN,期待上昇率: +48% (勝率: 81%)
6. その他部品,アナログ・デバイセズ,ADI,190.1億ドル,売上+30.4%/益+116.7%,買い,高性能アナログ半導体。通信やデータ処理、モーター制御向けのICに強み。,https://finance.yahoo.co.jp/quote/ADI,期待上昇率: +45% (勝率: 80%)
6. その他部品,マイクロチップ,MCHP,48.8億ドル,売上+15.6%,買い,マイコン大手。IoT機器や産業制御システム向けに提供。,https://finance.yahoo.co.jp/quote/MCHP,期待上昇率: +40% (勝率: 78%)
6. その他部品,オンセミ,ON,38.9億ドル,売上-11.2%/益-48.7%,買い,パワー半導体とイメージセンサー大手。EVや自動運転、産業用ロボットに必須。,https://finance.yahoo.co.jp/quote/ON,期待上昇率: +18% (勝率: 51%)
