カテゴリー,銘柄名,証券コード,時価総額,PER,PBR,配当利回り,業績推移(直近),アナリスト,企業の特徴,株探リンク,AI評価
3. ロボット本体・アーム,ダイヘン,6622,353.6億円,28.8倍,2.45倍,117.00%,-,-,小型変圧器、アーク溶接機で首位。半導体関連機器用も。FAロボット事業も。,https://kabutan.jp/stock/?code=6622,期待上昇率: +17% (勝率: 53%)
3. ロボット本体・アーム,オムロン,6645,1.0兆円,38.5倍,1.36倍,196.00%,売上+7.7%/益-49.6%,買い,制御機器大手。感知・リレー制御技術が得意。車載、鉄道システム、ヘルスケアも展開。,https://kabutan.jp/stock/?code=6645,期待上昇率: +28% (勝率: 65%)
3. ロボット本体・アーム,西部電機,6144,43.4億円,13.2倍,1.35倍,293.00%,売上+20.9%/益+27.6%,-,搬送装置、産業機械、精密機械が3本柱。バルブコントロールに強み。安川電と密。,https://kabutan.jp/stock/?code=6144,期待上昇率: +34% (勝率: 63%)
3. ロボット本体・アーム,不二越,6474,110.9億円,21.9倍,0.64倍,196.00%,売上+6.2%/益-18.1%,中立,工具、軸受、産業用ロボット大手。自動車向け中心。油圧機器、工作機械も展開。,https://kabutan.jp/stock/?code=6474,期待上昇率: +20% (勝率: 44%)
3. ロボット本体・アーム,ヤマハ発動機,7272,1.1兆円,6.9倍,0.94倍,457.00%,売上+4.1%,中立,ヤマハ直系の2輪車世界大手。船舶などに多角化、船外機で首位。ロボットも。,https://kabutan.jp/stock/?code=7272,期待上昇率: +24% (勝率: 52%)
3. ロボット本体・アーム,デンソー,6902,5.0兆円,11.4倍,0.95倍,401.00%,売上+5.0%/益+25.6%,買い,トヨタ系の自動車部品国内首位、世界2位。カーエアコンで高シェア。技術力に強み。,https://kabutan.jp/stock/?code=6902,期待上昇率: +50% (勝率: 79%)
3. ロボット本体・アーム,アズビル,6845,705.9億円,16.5倍,2.96倍,187.00%,売上-4.4%/益-46.1%,-,制御・自動化機器が高シェア。強みのエネルギー管理で改修も展開。海外で攻勢。,https://kabutan.jp/stock/?code=6845,期待上昇率: +4% (勝率: 32%)
3. ロボット本体・アーム,セイコーエプソン,6724,676.7億円,13.6倍,0.80倍,350.00%,売上+7.7%/益-29.3%,中立,インクジェットプリンタ世界大手。交換インク収益性。産業用スカラロボット、プロジェクターも。,https://kabutan.jp/stock/?code=6724,期待上昇率: +13% (勝率: 42%)
3. ロボット本体・アーム,川田テクノロジーズ,3443,86.3億円,8.9倍,0.89倍,293.00%,売上-18.6%/益-68.5%,-,鉄骨、橋梁大手。PC土木やシステム建築も。航空事業やロボット事業も注力。,https://kabutan.jp/stock/?code=3443,期待上昇率: +3% (勝率: 36%)
4. 開発支援・実用化技術,豆蔵,202A,56.8億円,36.4倍,17.58倍,1.69%,売上+14.6%/益+47.1%,-,-,https://kabutan.jp/stock/?code=202A,期待上昇率: +35% (勝率: 62%)
4. 開発支援・実用化技術,三菱電機,6503,12.4兆円,33.0倍,3.10倍,99.00%,売上+4.9%/益-14.9%,買い,総合電機大手。防衛・宇宙関連で先行。FA、家電、パワー半導体や自動運転にも。,https://kabutan.jp/stock/?code=6503,期待上昇率: +29% (勝率: 62%)
4. 開発支援・実用化技術,日立製作所,6501,22.7兆円,27.6倍,3.47倍,111.00%,売上+11.3%/益-10.1%,買い,総合電機・重電トップ。事業広範で技術に定評。インフラ系重視。海外注力。,https://kabutan.jp/stock/?code=6501,期待上昇率: +31% (勝率: 62%)
4. 開発支援・実用化技術,日本電気（NEC）,6701,5.9兆円,20.4倍,2.67倍,90.00%,-,強気買い,通信設備で国内トップ。ITサービス拡大。顔認証技術の販売を推進。5Gインフラも。,https://kabutan.jp/stock/?code=6701,期待上昇率: +34% (勝率: 78%)
4. 開発支援・実用化技術,富士通,6702,6.4兆円,18.6倍,2.82倍,162.00%,売上-4.3%/益+60.2%,買い,サーバー、ITシステムの国内トップ。公共、金融、流通向けに強み。DX推進・コンサル強化。,https://kabutan.jp/stock/?code=6702,期待上昇率: +29% (勝率: 65%)
4. 開発支援・実用化技術,ソニーG,6758,19.1兆円,15.1倍,2.28倍,77.00%,売上+0.5%,強気買い,AV機器世界大手。映画、ゲーム、音楽を展開。画像センサー等デバイス事業拡大。,https://kabutan.jp/stock/?code=6758,期待上昇率: +43% (勝率: 78%)
4. 開発支援・実用化技術,ルネサス,6723,5.3兆円,12.5倍,2.26倍,96.00%,売上+23.2%/益+158.5%,買い,半導体大手。ルネサスとNECエレが統合。車載マイコン世界トップ級。FA、インフラ向けも。,https://kabutan.jp/stock/?code=6723,期待上昇率: +50% (勝率: 79%)
4. 開発支援・実用化技術,ジーデップ・アドバンス,5885,16.2億円,26.0倍,4.92倍,97.00%,売上+9.1%/益+183.5%,-,AI学習など高度処理を可能なソフト・ハードの販売。米NVIDIAのエリートパートナー。,https://kabutan.jp/stock/?code=5885,期待上昇率: +38% (勝率: 63%)
5. 基幹部品,ヒーハイスト,6433,9.7億円,-,3.89倍,15.00%,売上-41.0%,-,機械向け軸受けを製造。高精度な位置決め制御装置も。THK向け過半。,https://kabutan.jp/stock/?code=6433,期待上昇率: +10% (勝率: 42%)
5. 基幹部品,ハーモニック,6324,449.2億円,105.2倍,6.27倍,42.00%,-,買い,精密制御減速装置が軸。小型・軽量強み。産業用ロボット向け等。メカトロ製品も。,https://kabutan.jp/stock/?code=6324,期待上昇率: +23% (勝率: 71%)
5. 基幹部品,住友重機械工業,6302,663.4億円,20.3倍,0.92倍,261.00%,売上+5.8%/益+22.5%,-,住友系重工大手。変減速機や射出成形機に強み。建機、エネルギー・ライフラインも。,https://kabutan.jp/stock/?code=6302,期待上昇率: +34% (勝率: 66%)
5. 基幹部品,ミネベアミツミ,6479,1.2兆円,19.8倍,1.47倍,163.00%,売上+22.8%/益+18.2%,買い,総合精密部品メーカー。極小ベアリングで世界高シェア。ミツミと統合で新分野開拓。,https://kabutan.jp/stock/?code=6479,期待上昇率: +49% (勝率: 78%)
5. 基幹部品,日本精工,6471,597.9億円,32.9倍,0.87倍,278.00%,売上+23.6%/益+114.9%,-,ベアリング最大手。電動パワステ等自動車用軸受け、産機用展開。車電動化注力。,https://kabutan.jp/stock/?code=6471,期待上昇率: +36% (勝率: 62%)
5. 基幹部品,山洋電気,6516,249.3億円,29.1倍,2.05倍,256.00%,売上+11.9%/益+79.0%,-,通信機器用冷却ファン、電源、工作機械向けなど小型・精密サーボモーターが主軸。,https://kabutan.jp/stock/?code=6516,期待上昇率: +38% (勝率: 64%)
5. 基幹部品,カヤバ,7242,190.7億円,8.1倍,0.83倍,334.00%,売上+12.6%/益+133.9%,-,油圧機器総合メーカー。四輪用衝撃緩衝器で世界上位。建機油圧シリンダー首位。,https://kabutan.jp/stock/?code=7242,期待上昇率: +36% (勝率: 63%)
5. 基幹部品,IDEC,6652,98.0億円,43.3倍,1.43倍,392.00%,売上+15.4%/益+237.7%,-,制御機器大手。スイッチや表示灯に強み。自動認識機器や防災・防爆関連強化。,https://kabutan.jp/stock/?code=6652,期待上昇率: +40% (勝率: 66%)
5. 基幹部品,ナブテスコ,6268,589.1億円,40.9倍,2.19倍,163.00%,売上-5.2%/益-4.0%,買い,産業ロボット用精密減速機は世界6割。自動ドアで世界トップ級。鉄道ブレーキも。,https://kabutan.jp/stock/?code=6268,期待上昇率: +14% (勝率: 52%)
5. 基幹部品,マブチモーター,6592,375.3億円,14.1倍,1.10倍,366.00%,売上+6.5%/益+374.4%,中立,小型モーターで世界高シェア。海外生産比率100%。車載用電装機器が主軸。,https://kabutan.jp/stock/?code=6592,期待上昇率: +30% (勝率: 61%)
5. 基幹部品,ニデック,6594,2.7兆円,22.7倍,1.55倍,192.00%,売上+2.9%/益+108.7%,買い,精密小型モーター大手。HDD用で世界首位。車載用など中大型に積極。,https://kabutan.jp/stock/?code=6594,期待上昇率: +44% (勝率: 77%)
5. 基幹部品,シンフォニア,6507,393.9億円,31.7倍,4.53倍,86.00%,売上-1.5%/益+2.2%,買い,重電から電子精密へ転換。搬送装置や制御機器を展開。エンジニアリングも。,https://kabutan.jp/stock/?code=6507,期待上昇率: +33% (勝率: 64%)
6. その他部品,JMACS,5817,8.1億円,19.6倍,1.47倍,105.00%,売上+5.0%,-,電線中堅。計装・制御用、警報用。小ロット・短納期に強み。FA事業は撤退。,https://kabutan.jp/stock/?code=5817,期待上昇率: +28% (勝率: 61%)
6. その他部品,日本トムソン,6480,74.0億円,23.7倍,0.95倍,264.00%,売上+13.3%/益+1387.9%,-,直動案内機器と2輪ニードル軸受けの2本柱。少量多品種生産。複合メカトロも。,https://kabutan.jp/stock/?code=6480,期待上昇率: +35% (勝率: 65%)
6. その他部品,イリソ電子工業,6908,69.5億円,19.8倍,0.94倍,338.00%,売上+7.6%/益-7.2%,-,コネクター製造大手。車載用が主力、デジタル家電用、産業用も。カスタム製品に定評。,https://kabutan.jp/stock/?code=6908,期待上昇率: +20% (勝率: 48%)
6. その他部品,SMC,6273,4.9兆円,31.5倍,2.41倍,130.00%,売上+7.3%/益+1.6%,買い,FA空圧制御機器で世界トップ。国内のシェア6割。流体制御も力。海外展開加速。,https://kabutan.jp/stock/?code=6273,期待上昇率: +50% (勝率: 78%)
6. その他部品,新東工業,6339,51.9億円,16.5倍,0.41倍,445.00%,売上+12.2%/益+316.7%,-,鋳造機械最大手。鋳造設備は国内外納入。表面処理や環境関連装置も。,https://kabutan.jp/stock/?code=6339,期待上昇率: +34% (勝率: 68%)
6. その他部品,コンバム,6265,4.6億円,18.5倍,0.76倍,167.00%,売上+11.4%/益+2.5%,-,独立系、ロボットハンド真空吸着搬送機器メーカー。自動車、電子産業向けが主力。,https://kabutan.jp/stock/?code=6265,期待上昇率: +36% (勝率: 64%)
6. その他部品,THK,6481,650.1億円,65.8倍,2.54倍,317.00%,-,-,直動システム大手。半導体製造装置、工作機械向け。LMガイドなど世界シェア首位。,https://kabutan.jp/stock/?code=6481,期待上昇率: +19% (勝率: 58%)
6. その他部品,ヒロセ電機,6806,712.0億円,23.7倍,1.90倍,225.00%,売上+9.3%/益-5.9%,買い,コネクター専業大手。産業機器、車載、スマホ向けが主力。国内は開発・営業特化。,https://kabutan.jp/stock/?code=6806,期待上昇率: +29% (勝率: 64%)
6. その他部品,日本航空電子工業,6807,165.7億円,23.0倍,1.17倍,203.00%,売上+10.7%/益-12.2%,中立,NEC系コネクター大手。小型、高速伝送で競争力。車、航空・宇宙向け電子機器も。,https://kabutan.jp/stock/?code=6807,期待上昇率: +16% (勝率: 44%)
